window_index,time_s,channel,roi,method,channel_status,observed_fraction,roi_quality,signal_std,candidate_rank,candidate_bpm,relative_power,peak_concentration,prominence_ratio,candidate_weight,motion_overlap,motion_weight,selected_consensus,output_accepted,waveform_weight,motion_available,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability,motion_spectral_coverage,motion_evidence_status,branch,original_channel
3,7.999992,forehead_tracked_logchrom,forehead,tracked_logchrom,usable,1.0,1.0,0.8266704748855217,1,67.0,1.0,0.28286312228865473,1.0,0.5318487776508044,0.3885160145339294,0.9028709963665177,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logchrom
3,7.999992,left_cheek_tracked_logpos,left_cheek,tracked_logpos,usable,1.0,1.0,0.6292771916606398,1,78.0,0.95339444809548,0.19009476808345113,0.9299316148156892,0.42571739041617757,0.588310963647072,0.8529222590882319,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logpos
3,7.999992,left_cheek_tracked_logpos,left_cheek,tracked_logpos,usable,1.0,1.0,0.6292771916606398,2,162.0,0.8495355753373324,0.15357417487318029,0.8490921130618149,0.3612017787993898,0.5076780286787734,0.8730804928303066,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logpos
3,7.999992,left_cheek_tracked_logchrom,left_cheek,tracked_logchrom,usable,1.0,1.0,0.7293977342927054,1,160.0,1.0,0.18745793502126679,1.0,0.4329641267140579,0.4766529394277557,0.8808367651430611,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logchrom
3,7.999992,left_cheek_tracked_logchrom,left_cheek,tracked_logchrom,usable,1.0,1.0,0.7293977342927054,2,179.0,0.9627332739593386,0.1980325008340996,0.7093682170203524,0.43663769635519123,0.05443916744293491,0.9863902081392663,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logchrom
3,7.999992,right_cheek_tracked_logpos,right_cheek,tracked_logpos,usable,1.0,1.0,0.4984459656290867,1,88.0,1.0,0.36871160300984407,1.0,0.6072162736701349,0.3704493234154518,0.9073876691461371,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logpos
3,7.999992,right_cheek_tracked_logpos,right_cheek,tracked_logpos,usable,1.0,1.0,0.4984459656290867,2,105.0,0.6390930743236519,0.19014376712481396,0.5025123080395525,0.3485965643767561,0.12933234524196052,0.9676669136895099,True,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logpos
3,7.999992,right_cheek_tracked_logchrom,right_cheek,tracked_logchrom,usable,1.0,1.0,0.685576170338476,1,89.0,1.0,0.2844650267313647,1.0,0.533352628878273,0.449906039899572,0.887523490025107,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logchrom
4,8.999991,forehead_baseline_logpos,forehead,baseline_logpos,usable,1.0,1.0,0.8436431783050322,1,139.0,1.0,0.3691017600684019,1.0,0.6075374556917473,0.48437960488862625,0.8789050987778434,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logpos
4,8.999991,forehead_baseline_logchrom,forehead,baseline_logchrom,usable,1.0,1.0,0.9709769206663957,1,140.0,1.0,0.26157781123003615,1.0,0.5114467824026623,0.611277564649014,0.8471806088377465,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logchrom
4,8.999991,forehead_baseline_logchrom,forehead,baseline_logchrom,usable,1.0,1.0,0.9709769206663957,2,68.0,0.8174977926350563,0.23187468528353228,0.8073461852657489,0.43538149178305224,0.4431279944970318,0.889218001375742,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logchrom
4,8.999991,left_cheek_baseline_logpos,left_cheek,baseline_logpos,usable,1.0,1.0,0.6943624084015751,1,162.0,1.0,0.29179405714766693,1.0,0.5401796526598044,0.46169345601225054,0.8845766359969374,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logpos
4,8.999991,left_cheek_baseline_logpos,left_cheek,baseline_logpos,usable,1.0,1.0,0.6943624084015751,2,93.0,0.5991358832431354,0.16696220818061983,0.5939209874538902,0.31628001844334064,0.6011431077421072,0.8497142230644732,True,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logpos
4,8.999991,left_cheek_baseline_logchrom,left_cheek,baseline_logchrom,usable,1.0,1.0,0.9260414736130729,1,162.0,1.0,0.33841973013897303,1.0,0.5817385410465539,0.46169345601225054,0.8845766359969374,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logchrom
4,8.999991,right_cheek_baseline_logpos,right_cheek,baseline_logpos,usable,1.0,1.0,0.6584977962477131,1,75.0,1.0,0.22294852498979634,1.0,0.47217425278153013,0.8183030401846978,0.7954242399538256,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logpos
4,8.999991,right_cheek_baseline_logpos,right_cheek,baseline_logpos,usable,1.0,1.0,0.6584977962477131,2,87.0,0.7343445005711031,0.16570758506918948,0.4217953657974518,0.3488358550930187,0.2631602892683873,0.9342099276829032,True,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logpos
4,8.999991,right_cheek_baseline_logchrom,right_cheek,baseline_logchrom,usable,1.0,1.0,0.8941354434177076,1,87.0,1.0,0.28239454458156643,1.0,0.5314080772641364,0.2631602892683873,0.9342099276829032,True,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logchrom
4,8.999991,right_cheek_baseline_logchrom,right_cheek,baseline_logchrom,usable,1.0,1.0,0.8941354434177076,2,75.0,0.6780059042061248,0.18414393302016,0.3011316803407874,0.3533421483653,0.8183030401846978,0.7954242399538256,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logchrom
4,8.999991,forehead_tracked_logpos,forehead,tracked_logpos,usable,1.0,1.0,0.7514218037467361,1,61.0,1.0,0.36320009873865805,1.0,0.6026608488517053,0.04002313559509644,0.9899942161012258,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logpos
4,8.999991,forehead_tracked_logpos,forehead,tracked_logpos,usable,1.0,1.0,0.7514218037467361,2,102.0,0.6611282251430816,0.26003910678179437,0.6608511817528335,0.4146313942943057,0.28158704905897347,0.9296032377352567,True,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logpos
4,8.999991,forehead_tracked_logchrom,forehead,tracked_logchrom,usable,1.0,1.0,0.8405834119459538,1,65.0,1.0,0.29325274680886737,1.0,0.5415281588328231,0.26088099622567457,0.9347797509435813,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logchrom
4,8.999991,forehead_tracked_logchrom,forehead,tracked_logchrom,usable,1.0,1.0,0.8405834119459538,2,99.0,0.7034850969430134,0.20741109402250277,0.7026423589822012,0.38198247811316793,0.5292413895709647,0.8676896526072588,True,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logchrom
4,8.999991,left_cheek_tracked_logpos,left_cheek,tracked_logpos,usable,1.0,1.0,0.6153590412049141,1,77.0,1.0,0.21871221032072272,1.0,0.46766677273537693,0.9325274292177905,0.7668681426955524,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logpos
4,8.999991,left_cheek_tracked_logpos,left_cheek,tracked_logpos,usable,1.0,1.0,0.6153590412049141,2,177.0,0.8138065350883509,0.16676404803325376,0.8004688548910935,0.36839336599245315,0.2731789074053583,0.9317052731486605,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logpos
4,8.999991,left_cheek_tracked_logpos,left_cheek,tracked_logpos,usable,1.0,1.0,0.6153590412049141,3,161.0,0.7569492804899004,0.15697921280861607,0.6477234581562339,0.3447104613836849,0.37411397471458224,0.9064715063213544,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logpos
4,8.999991,left_cheek_tracked_logchrom,left_cheek,tracked_logchrom,usable,1.0,1.0,0.6976530533898648,1,178.0,1.0,0.25974481921367476,1.0,0.5096516645844246,0.1822413904050301,0.9544396523987425,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logchrom
4,8.999991,left_cheek_tracked_logchrom,left_cheek,tracked_logchrom,usable,1.0,1.0,0.6976530533898648,2,160.0,0.8972986838669921,0.20073668967613334,0.8818432771474123,0.4244063706522456,0.2785117679037677,0.9303720580240581,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logchrom
4,8.999991,left_cheek_tracked_logchrom,left_cheek,tracked_logchrom,usable,1.0,1.0,0.6976530533898648,3,80.0,0.5714490423751439,0.1516252202909416,0.5651117434909269,0.29435707386638227,0.9940808843328031,0.7514797789167993,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logchrom
4,8.999991,right_cheek_tracked_logpos,right_cheek,tracked_logpos,usable,1.0,1.0,0.535794223896975,1,88.0,1.0,0.362162328808371,1.0,0.601799242944332,0.3562359929821918,0.910941001754452,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logpos
4,8.999991,right_cheek_tracked_logpos,right_cheek,tracked_logpos,usable,1.0,1.0,0.535794223896975,2,104.0,0.5478805433256734,0.17612450349871178,0.21952925846979615,0.3106367471337521,0.10512807954946936,0.9737179801126327,True,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logpos
4,8.999991,right_cheek_tracked_logchrom,right_cheek,tracked_logchrom,usable,1.0,1.0,0.6852259261898279,1,89.0,1.0,0.2727463706287488,1.0,0.5222512523955771,0.43710087052238195,0.8907247823694046,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logchrom
4,8.999991,right_cheek_tracked_logchrom,right_cheek,tracked_logchrom,usable,1.0,1.0,0.6852259261898279,2,52.0,0.7697617823930997,0.1859646834236097,0.7557445078220539,0.378349714119525,0.16898141057347743,0.9577546473566306,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logchrom
5,9.99999,forehead_baseline_logpos,forehead,baseline_logpos,usable,1.0,1.0,0.8371328653829582,1,140.0,1.0,0.3839312054418529,1.0,0.6196218245364288,0.7782087442377252,0.8054478139405687,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logpos
