case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
data1,pos,trimmed_gap10,bounded_tracking_gap15,0,38,-0.8036287536359766,-0.7992375797738833,39.473684210526315
data1,pos,trimmed_gap10,guarded_fusion_gap10,0,38,-0.8036287536359766,-0.7992375797738833,39.473684210526315
data1,pos,trimmed_gap10,guarded_fusion_gap15,0,38,-0.8036287536359766,-0.7992375797738833,39.473684210526315
data1,pos,trimmed_gap15,bounded_tracking_gap10,0,38,-0.803628753636,-0.7992375797739806,39.473684210526315
data1,pos,trimmed_gap15,bounded_tracking_gap15,0,38,-0.8036287536359541,-0.7992375797739224,39.473684210526315
data1,pos,trimmed_gap15,guarded_fusion_gap10,0,38,-0.8036287536359541,-0.7992375797739224,39.473684210526315
data1,pos,trimmed_gap15,guarded_fusion_gap15,0,38,-0.8036287536359541,-0.7992375797739224,39.473684210526315
data1,pos,bounded_tracking_gap10,bounded_tracking_gap15,0,38,4.5904800428711734e-14,2.3092638912203256e-14,0.0
data1,pos,bounded_tracking_gap10,guarded_fusion_gap10,0,38,4.5904800428711734e-14,2.3092638912203256e-14,0.0
data1,pos,bounded_tracking_gap10,guarded_fusion_gap15,0,38,4.5904800428711734e-14,2.3092638912203256e-14,0.0
data1,pos,bounded_tracking_gap15,guarded_fusion_gap10,0,38,0.0,0.0,0.0
data1,pos,bounded_tracking_gap15,guarded_fusion_gap15,0,38,0.0,0.0,0.0
data1,pos,guarded_fusion_gap10,guarded_fusion_gap15,0,38,0.0,0.0,0.0
data1,chrom,trimmed_gap10,trimmed_gap15,0,38,3.578424106739189e-14,2.7533531010703882e-14,0.0
data1,chrom,trimmed_gap10,bounded_tracking_gap10,0,38,-1.8805687241387528,-1.6705090810241097,21.052631578947366
data1,chrom,trimmed_gap10,bounded_tracking_gap15,0,38,-1.8805687241386781,-1.670509081024027,21.052631578947366
data1,chrom,trimmed_gap10,guarded_fusion_gap10,0,38,-1.8805687241386781,-1.670509081024027,21.052631578947366
data1,chrom,trimmed_gap10,guarded_fusion_gap15,0,38,-1.8805687241386781,-1.670509081024027,21.052631578947366
data1,chrom,trimmed_gap15,bounded_tracking_gap10,0,38,-1.8805687241387885,-1.6705090810241243,21.052631578947366
data1,chrom,trimmed_gap15,bounded_tracking_gap15,0,38,-1.8805687241387141,-1.6705090810240417,21.052631578947366
data1,chrom,trimmed_gap15,guarded_fusion_gap10,0,38,-1.8805687241387141,-1.6705090810240417,21.052631578947366
data1,chrom,trimmed_gap15,guarded_fusion_gap15,0,38,-1.8805687241387141,-1.6705090810240417,21.052631578947366
data1,chrom,bounded_tracking_gap10,bounded_tracking_gap15,0,38,7.530818074404746e-14,6.306066779870889e-14,0.0
data1,chrom,bounded_tracking_gap10,guarded_fusion_gap10,0,38,7.530818074404746e-14,6.306066779870889e-14,0.0
data1,chrom,bounded_tracking_gap10,guarded_fusion_gap15,0,38,7.530818074404746e-14,6.306066779870889e-14,0.0
data1,chrom,bounded_tracking_gap15,guarded_fusion_gap10,0,38,0.0,0.0,0.0
data1,chrom,bounded_tracking_gap15,guarded_fusion_gap15,0,38,0.0,0.0,0.0
data1,chrom,guarded_fusion_gap10,guarded_fusion_gap15,0,38,0.0,0.0,0.0
data1,fusion,trimmed_gap10,trimmed_gap15,1,36,8.269927952318944e-14,8.348877145181177e-14,0.0
data1,fusion,trimmed_gap10,bounded_tracking_gap10,1,36,0.47589045291346566,0.5687138609799902,55.55555555555556
data1,fusion,trimmed_gap10,bounded_tracking_gap15,1,36,0.47589045291348486,0.5687138609799929,55.55555555555556
data1,fusion,trimmed_gap10,guarded_fusion_gap10,1,36,-0.03632758984960876,1.474376176702208e-13,27.77777777777778
data1,fusion,trimmed_gap10,guarded_fusion_gap15,1,36,-0.03632758984960876,1.474376176702208e-13,27.77777777777778
data1,fusion,trimmed_gap15,bounded_tracking_gap10,1,36,0.47589045291338294,0.5687138609798996,55.55555555555556
data1,fusion,trimmed_gap15,bounded_tracking_gap15,1,36,0.4758904529134022,0.5687138609799023,55.55555555555556
data1,fusion,trimmed_gap15,guarded_fusion_gap10,1,36,-0.036327589849691456,2.3092638912203256e-14,27.77777777777778
data1,fusion,trimmed_gap15,guarded_fusion_gap15,1,36,-0.036327589849691456,2.3092638912203256e-14,27.77777777777778
data1,fusion,bounded_tracking_gap10,bounded_tracking_gap15,1,37,1.7475510528153817e-14,8.881784197001252e-15,0.0
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap10,1,37,-0.4935672054661883,-0.3828381140842314,45.94594594594595
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap15,1,37,-0.4935672054661883,-0.3828381140842314,45.94594594594595
