record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,cluster_index,patch_ids_json,regions_json,patch_count,region_count,qualified,cluster_score,selected,coefficient,polarity,medoid_channel
channel,18,tracked/left_cheek_2/chrom,left_cheek_2,left_cheek,tracked,chrom,eligible,1.0,0.9999999894138568,0.6533333333333333,0.0,False,44.0,0.17227511736749448,9.673655613574425,0.09538314372381014,,,,,,,,,,,
channel,18,tracked/left_cheek_2/pos,left_cheek_2,left_cheek,tracked,pos,eligible,1.0,0.9999999894138568,0.6533333333333333,0.0,False,78.0,0.205472247112985,29.714142619504457,0.05910865741258069,,,,,,,,,,,
channel,18,tracked/left_cheek_3/chrom,left_cheek_3,left_cheek,tracked,chrom,eligible,1.0,0.9999999881669404,0.7033333333333334,0.0,True,50.0,0.30323946475478064,11.857560526859508,0.15252496469455132,,,,,,,,,,,
channel,18,tracked/left_cheek_3/pos,left_cheek_3,left_cheek,tracked,pos,eligible,1.0,0.9999999881669404,0.7033333333333334,0.0,False,51.0,0.21659438834522107,16.894253018425225,0.089953274046754,,,,,,,,,,,
channel,18,tracked/right_cheek_0/chrom,right_cheek_0,right_cheek,tracked,chrom,tracking_ineligible,1.0,0.9999999889881401,0.44666666666666666,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/right_cheek_0/pos,right_cheek_0,right_cheek,tracked,pos,tracking_ineligible,1.0,0.9999999889881401,0.44666666666666666,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/right_cheek_1/chrom,right_cheek_1,right_cheek,tracked,chrom,tracking_ineligible,1.0,0.999999988134715,0.03333333333333333,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/right_cheek_1/pos,right_cheek_1,right_cheek,tracked,pos,tracking_ineligible,1.0,0.999999988134715,0.03333333333333333,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/right_cheek_2/chrom,right_cheek_2,right_cheek,tracked,chrom,tracking_ineligible,1.0,0.9999999875570078,0.49333333333333335,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/right_cheek_2/pos,right_cheek_2,right_cheek,tracked,pos,tracking_ineligible,1.0,0.9999999875570078,0.49333333333333335,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/right_cheek_3/chrom,right_cheek_3,right_cheek,tracked,chrom,tracking_ineligible,1.0,0.9999999867338236,0.24333333333333335,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/right_cheek_3/pos,right_cheek_3,right_cheek,tracked,pos,tracking_ineligible,1.0,0.9999999867338236,0.24333333333333335,0.0,False,,,,,,,,,,,,,,,
cluster,18,,,,,,,,,,,,59.0,0.36101590689228763,11.173732319743536,0.18694402882251795,0.0,"[""forehead_0""]","[""forehead""]",1.0,1.0,False,0.06231467627417265,False,,,
cluster,18,,,,,,,,,,,,78.0,0.2147825806529298,9.407449484829854,0.1203969192902497,1.0,"[""forehead_1"", ""left_cheek_0""]","[""forehead"", ""left_cheek""]",2.0,2.0,True,0.08026461286016646,False,,,
cluster,18,,,,,,,,,,,,63.0,0.3921647281783265,10.469544958057881,0.20943800806488036,2.0,"[""forehead_2""]","[""forehead""]",1.0,1.0,False,0.06981266935496012,False,,,
cluster,18,,,,,,,,,,,,129.0,0.17539012061200338,7.518616368300755,0.10782943870766128,3.0,"[""forehead_3""]","[""forehead""]",1.0,1.0,False,0.03594314623588709,False,,,
cluster,18,,,,,,,,,,,,90.0,0.3451265792287016,11.804830686822612,0.17397808895305422,4.0,"[""left_cheek_1"", ""right_cheek_0""]","[""left_cheek"", ""right_cheek""]",2.0,2.0,True,0.11598539263536949,True,,,
cluster,18,,,,,,,,,,,,72.0,0.28411335971583457,24.569273473100615,0.09323019006920795,5.0,"[""left_cheek_2"", ""right_cheek_3""]","[""left_cheek"", ""right_cheek""]",2.0,2.0,True,0.062153460046138635,False,,,
