case,comparison,before,after,estimator,comparison_role,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,common_delta_MAE_bpm,own_delta_MAE_bpm,delta_C_out_pct,delta_R5_all_reference_pct,added_Nwithin5,lost_Nwithin5,common_Nwithin5_delta
kaggle_full,trimmed_gap10/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,trimmed_gap10/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,405,0,11,,,-2.6252983293556156,,0,0,0
kaggle_full,trimmed_gap15/fusion/local_peak->cpace/local_peak,trimmed_gap15/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,416,0,0,,,0.0,,0,0,0
kaggle_full,trimmed_gap15/fusion/offline_ridge->cpace/offline_ridge,trimmed_gap15/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,416,0,0,,,0.0,,0,0,0
kaggle_full,trimmed_gap15/fusion/local_peak->rhythm/local_peak,trimmed_gap15/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,414,0,2,,,-0.4773269689737418,,0,0,0
kaggle_full,trimmed_gap15/fusion/offline_ridge->rhythm/offline_ridge,trimmed_gap15/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,414,0,2,,,-0.4773269689737418,,0,0,0
kaggle_full,trimmed_gap15/fusion/local_peak->cpace_no_homodyne/local_peak,trimmed_gap15/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,405,0,11,,,-2.6252983293556156,,0,0,0
kaggle_full,trimmed_gap15/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,trimmed_gap15/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,405,0,11,,,-2.6252983293556156,,0,0,0
kaggle_full,cpace/local_peak->rhythm/local_peak,cpace/local_peak,rhythm/local_peak,local_peak,primary,none,0,414,0,2,,,-0.4773269689737418,,0,0,0
kaggle_full,cpace/offline_ridge->rhythm/offline_ridge,cpace/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,414,0,2,,,-0.4773269689737418,,0,0,0
kaggle_full,cpace/local_peak->cpace_no_homodyne/local_peak,cpace/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,405,0,11,,,-2.6252983293556156,,0,0,0
kaggle_full,cpace/offline_ridge->cpace_no_homodyne/offline_ridge,cpace/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,405,0,11,,,-2.6252983293556156,,0,0,0
kaggle_full,rhythm/local_peak->cpace_no_homodyne/local_peak,rhythm/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,404,1,10,,,-2.1479713603818738,,0,0,0
kaggle_full,rhythm/offline_ridge->cpace_no_homodyne/offline_ridge,rhythm/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,404,1,10,,,-2.1479713603818738,,0,0,0
synthetic72,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,synthetic_72bpm_modulation,0,7,0,0,0.0,0.0,0.0,0.0,0,0,0
