case,branch,system,role,estimator,reference_kind,shift_s,scope,Ncommon_output,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
synthetic72,v21/fusion/local_peak,v21/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,v21/fusion/local_peak,v21/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,cpace/local_peak,cpace,primary,local_peak,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,cpace/local_peak,cpace,primary,local_peak,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,cpace/offline_ridge,cpace,primary,offline_ridge,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,cpace/offline_ridge,cpace,primary,offline_ridge,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,rhythm/local_peak,rhythm,primary,local_peak,synthetic_72bpm_modulation,0,strict_common_all12,3,11,3,11,3,27.272727272727273,27.272727272727273,0.3333333333333333,0.5773502691896257,-0.3333333333333333,0.5773502691896258,-1.464939860945,0.7982731942783334,0.8999999999999999,1.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,rhythm/local_peak,rhythm,primary,local_peak,synthetic_72bpm_modulation,0,strict_common_primary10,3,11,3,11,3,27.272727272727273,27.272727272727273,0.3333333333333333,0.5773502691896257,-0.3333333333333333,0.5773502691896258,-1.464939860945,0.7982731942783334,0.8999999999999999,1.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
