branch,roi,segment_id,start_frame,stop_frame_exclusive,status,window,finite_samples,minimum_weight,maximum_weight
tracked,forehead,0,750,1050,cdf_applied,True,300,0.0,0.9643877710483987
tracked,forehead,0,780,1080,cdf_applied,True,300,0.0,0.7156015649163407
tracked,forehead,0,810,1110,cdf_applied,True,300,0.0,0.13893736613938779
tracked,forehead,0,840,1140,cdf_applied,True,300,0.0,0.7008837585926356
tracked,forehead,0,870,1170,cdf_applied,True,300,0.0,0.4150155868758128
tracked,forehead,0,900,1200,cdf_applied,True,300,0.0,0.5891753425802457
tracked,forehead,0,930,1230,cdf_applied,True,300,0.0,0.8453280359134523
tracked,forehead,0,960,1260,cdf_applied,True,300,0.0,0.6043440865213854
tracked,forehead,0,990,1290,cdf_applied,True,300,0.0,0.6825476123968109
tracked,forehead,0,1020,1320,cdf_applied,True,300,0.0,0.6195054722054174
tracked,forehead,0,1050,1350,cdf_applied,True,300,0.0,0.7923634912687423
tracked,forehead,0,1080,1380,cdf_applied,True,300,0.0,0.2832428669783328
tracked,forehead,0,1110,1410,cdf_applied,True,300,0.0,0.4818656182055424
tracked,forehead,0,1140,1440,cdf_applied,True,300,0.0,0.5562927746250442
tracked,forehead,0,1170,1470,cdf_applied,True,300,0.0,0.39780368298202823
tracked,forehead,0,1200,1500,cdf_applied,True,300,0.0,0.6106100112670426
tracked,forehead,0,1230,1530,cdf_applied,True,300,0.0,0.24251851613022682
tracked,forehead,0,1260,1560,cdf_applied,True,300,0.0,0.3462345338173702
tracked,forehead,0,1290,1590,cdf_applied,True,300,0.0,0.6501797286742255
tracked,forehead,0,1320,1620,cdf_applied,True,300,0.0,0.3032275101019214
tracked,forehead,0,1350,1650,cdf_applied,True,300,0.0,0.21469993956033498
tracked,forehead,0,1380,1680,cdf_applied,True,300,0.0,0.18639255039287805
tracked,forehead,0,1410,1710,cdf_applied,True,300,0.0,0.4228570864027631
tracked,forehead,0,1440,1740,cdf_applied,True,300,0.0,0.7252885151474497
tracked,forehead,0,1470,1770,cdf_applied,True,300,0.0,0.6079084504728891
tracked,forehead,0,1500,1800,cdf_applied,True,300,0.0,0.6452277702538914
tracked,forehead,0,1530,1830,cdf_applied,True,300,0.0,0.7417753657134625
tracked,forehead,0,1560,1860,cdf_applied,True,300,0.0,0.28817807765043835
tracked,left_cheek,0,0,300,cdf_applied,True,300,0.0,0.39306957714934193
tracked,left_cheek,0,30,330,cdf_applied,True,300,0.0,0.41924193611014043
tracked,left_cheek,0,60,360,cdf_applied,True,300,0.0,0.6922779313060794
